"용어","영문명","대분류","소분류","한줄정의","예시","수식","팁","강의주차"
"수익률","Return","퀀트·금융","수익·성과","내 돈이 얼마나 늘었나(또는 줄었나)를 %로 표현한 것","5000원 → 6000원이면 수익률 = (6000-5000)/5000×100 = +20%","수익률 = (나중 가격 - 처음 가격) / 처음 가격 × 100","로그수익률 = log(나중/처음). 수학적으로 더 다루기 편해 퀀트에서 주로 사용",""
"누적수익률","Cumulative Return","퀀트·금융","수익·성과","처음 투자 시점부터 지금까지 총 얼마나 벌었는지","1월 +10% → 100만원이 110만원 / 2월 +10% → 110만원이 121만원 → 누적 +21%","누적수익률 = (최종 자산 / 처음 자산) - 1","단순 합산(20%)이 아닌 복리 계산(21%). 차이가 장기 투자일수록 커짐",""
"연환산 수익률","CAGR (Annualized Return)","퀀트·금융","수익·성과","N년치 수익을 매년 몇 %씩 번 것과 같은가로 1년 기준 환산","3년 누적 +33.1% → 연환산 약 +10% (매년 10%씩 복리 3년 = 1.1³ = 1.331)","CAGR = (최종/처음)^(1/년수) - 1","S&P500 CAGR 역사적으로 약 8~10%. 이보다 높으면 시장을 이긴 전략",""
"초과수익률","Excess Return","퀀트·금융","수익·성과","시장 평균보다 얼마나 더(또는 덜) 벌었는지","내 전략 +15%, S&P500 +10% → 초과수익률 = +5%","초과수익률 = 전략 수익률 - 벤치마크 수익률","벤치마크를 뭘로 잡느냐가 중요. 보통 S&P500 또는 무위험수익률",""
"알파","Alpha (α)","퀀트·금융","수익·성과","시장 움직임 영향을 제거한 후 순수하게 전략 자체 실력으로 번 수익","시장이 0% 움직였는데 내 전략이 +5% 벌었다면 알파 = +5%","실제수익률 = α + β × 시장수익률 + 오차","퀀트의 궁극적 목표는 양의 알파(α > 0)를 안정적으로 만드는 것",""
"베타","Beta (β)","퀀트·금융","수익·성과","시장이 1% 움직일 때 내 자산이 몇 % 움직이는지. 시장 민감도","β=2이면 시장 +1%일 때 나는 +2%, 시장 -1%일 때 나는 -2%","β = Cov(자산, 시장) / Var(시장)","β>1 = 시장보다 과격 / β<1 = 시장보다 안정적 / β=0 = 시장과 무관",""
"샤프 비율","Sharpe Ratio","퀀트·금융","수익·성과","위험 한 단위당 얼마나 벌었나. 수익률을 변동성으로 나눈 것. 높을수록 좋음","연수익 10%, 연변동성 10% → 샤프 = 1.0 / 연수익 10%, 연변동성 20% → 샤프 = 0.5","Sharpe = (전략수익률 - 무위험수익률) / 변동성","샤프 1.0 이상이면 양호. 2.0 이상이면 매우 좋은 전략으로 평가",""
"소르티노 비율","Sortino Ratio","퀀트·금융","수익·성과","샤프 비율과 비슷하지만 하락 변동성만 위험으로 계산. 오를 때는 위험 아님","오를 때 변동 크고 내릴 때 안정적인 전략 → 소르티노가 샤프보다 더 높게 나옴","Sortino = (전략수익률 - 무위험수익률) / 하락변동성","하락 리스크만 신경 쓰는 투자자에게 더 적합한 지표",""
"트레이너 비율","Treynor Ratio","퀀트·금융","수익·성과","수익을 변동성 대신 베타(시장 위험)로 나눈 성과 지표","연수익 10%, β=0.5 → 트레이너 = 0.2","Treynor = (전략수익률 - 무위험수익률) / β","여러 펀드를 비교할 때 유용. 분산투자된 포트폴리오 평가에 적합",""
"정보비율","Information Ratio","퀀트·금융","수익·성과","벤치마크 대비 얼마나 안정적으로 초과수익을 냈는가","초과수익률 평균 2%, 초과수익률 표준편차 4% → IR = 0.5","IR = 평균초과수익률 / 추적오차(Tracking Error)","IR 0.5 이상이면 안정적인 알파 생성 전략으로 평가",""
"승률","Win Rate","퀀트·금융","수익·성과","전체 거래 중 수익이 난 거래의 비율","100번 거래, 60번 수익 → 승률 = 60%","승률 = 수익 거래 수 / 전체 거래 수 × 100","승률과 손익비를 함께 봐야 함. 승률 40%여도 손익비 3:1이면 기대수익이 양수",""
"손익비","Profit Factor","퀀트·금융","수익·성과","총 이익 / 총 손실. 1보다 크면 수익성 있는 전략","총수익 300만원, 총손실 100만원 → 손익비 = 3.0","손익비 = 총수익 / 총손실","손익비 2.0 이상이면 양호한 전략으로 평가",""
"기대수익","Expected Return","퀀트·금융","수익·성과","평균적으로 한 번 거래할 때 기대할 수 있는 수익","승률 60%, 이길 때 +2만원, 질 때 -1만원 → 기대수익 = 0.6×2 + 0.4×(-1) = 0.8만원","기대수익 = 승률×평균이익 + 패률×평균손실","기대수익이 양수여야 장기적으로 돈을 버는 전략",""
"변동성","Volatility","퀀트·금융","리스크","가격이 얼마나 들쭉날쭉한지. 수익률의 표준편차로 측정","매일 ±0.1% 움직이는 국채 vs 매일 ±3% 움직이는 주식 → 주식 변동성이 30배 높음","변동성 = 수익률의 표준편차 × √252 (연환산)","변동성 자체가 나쁜 건 아님. 클수록 기회도 크고 위험도 큼",""
"최대낙폭","MDD (Maximum Drawdown)","퀀트·금융","리스크","투자 기간 중 고점 대비 가장 크게 떨어진 폭. 손실 가능성의 최악 시나리오","100만원 → 150만원 → 90만원이면 고점 150에서 90으로 → MDD = -40%","MDD = (계곡 최저점 - 직전 최고점) / 직전 최고점","MDD가 -50%이면 원금 회복에 +100%가 필요. 심리적으로 견디기 매우 어려운 수준",""
"평균낙폭","Average Drawdown","퀀트·금융","리스크","모든 낙폭의 평균치. MDD가 최악의 날이라면 평균낙폭은 일상적 손실 수준","낙폭이 -5%, -10%, -15%, -20% 4번 있었다면 평균낙폭 = -12.5%","평균낙폭 = 모든 낙폭의 합 / 낙폭 횟수","MDD는 이상치에 예민. 평균낙폭은 전략의 일상적 안정성을 더 잘 보여줌",""
"VaR","Value at Risk","퀀트·금융","리스크","95%(또는 99%) 확률로 하루에 최대 얼마 잃을 수 있는가","95% VaR = 300만원 → 100거래일 중 5일은 300만원 넘게 잃을 수 있음","역사적 방법: 수익률 분포의 하위 5% 지점","VaR이 절대 이 이상은 안 잃는다는 보장이 아님. 5% 확률의 테일 리스크가 여전히 존재",""
"CVaR","Conditional VaR (Expected Shortfall)","퀀트·금융","리스크","VaR를 초과하는 상황이 발생했을 때 평균 손실. 최악 5% 상황의 평균","VaR 300만원인데 그 선을 넘었을 때 평균 손실 500만원 → CVaR = 500만원","CVaR = VaR 초과 손실들의 평균","금융위기 같은 극단 상황에서 VaR보다 CVaR가 더 유용한 리스크 지표",""
"다운사이드 리스크","Downside Risk","퀀트·금융","리스크","손실이 날 때의 변동성만 측정. 상승은 위험이 아니므로 제외","수익률이 +5%, -3%, +7%, -1%일 때 → 하락 수익률(-3%, -1%)의 표준편차만 계산","하락 수익률들만의 표준편차","소르티노 비율의 분모가 바로 이 다운사이드 리스크",""
"추적오차","Tracking Error","퀀트·금융","리스크","내 전략이 벤치마크와 얼마나 다르게 움직이는지","S&P500 대비 초과수익 변동성 5% → 추적오차 = 5%","추적오차 = 초과수익률의 표준편차","인덱스 펀드는 추적오차 최소화가 목표. 액티브 전략은 반대로 크게 가져가야 알파 가능",""
"시스템 리스크·비체계적 리스크","Systematic / Idiosyncratic Risk","퀀트·금융","리스크","시스템 리스크 = 시장 전체 위험(피할 수 없음). 비체계적 = 개별 종목 위험(분산으로 제거 가능)","코로나 폭락 = 시스템 리스크 / 특정 기업 회계부정 = 비체계적(종목 분산으로 방어)","총위험 = 시스템 리스크 + 비체계적 리스크","분산투자로 비체계적 리스크는 줄일 수 있지만 시스템 리스크는 줄이기 어려움",""
"RSI","Relative Strength Index","퀀트·금융","기술지표","최근 14일간 오른 힘과 내린 힘을 비교해 0~100 사이 숫자로 표현. 70 이상 과매수, 30 이하 과매도","RSI 80 = 너무 많이 올랐다 조정 가능성 / RSI 25 = 너무 많이 내렸다 반등 가능성","RSI = 100 - 100/(1 + 평균상승/평균하락)","단독으로 쓰기보다 다른 지표와 함께 사용. 강한 추세 중엔 RSI 70이어도 계속 오를 수 있음","이 프로젝트 피처"
"MACD","MACD","퀀트·금융","기술지표","단기(12일) 지수이동평균 - 장기(26일) 지수이동평균. 두 선의 교차로 추세 전환 포착","MACD선이 Signal선(9일 평균)을 위로 교차 → 매수 신호 / 아래로 교차 → 매도 신호","MACD = EMA(12) - EMA(26) / Signal = EMA(MACD, 9) / Histogram = MACD - Signal","MACD 히스토그램이 양수에서 음수로 바뀌는 순간이 추세 약화 신호","이 프로젝트 피처"
"이동평균","MA / SMA / EMA","퀀트·금융","기술지표","최근 N일 종가의 평균. 가격 노이즈를 제거하고 추세만 남김","SMA(단순): 5일 평균 = (100+102+99+103+101)/5 = 101 / EMA: 최근 날에 더 높은 가중치","SMA = 최근 N일 종가 합 / N / EMA = 전날EMA×(1-α) + 오늘종가×α","200일 이동평균 위 = Bull 시장 신호. 50일이 200일을 위로 교차 = 골든크로스","이 프로젝트 피처"
"볼린저 밴드","Bollinger Bands","퀀트·금융","기술지표","이동평균 ± 2 표준편차로 만든 위아래 밴드. 가격이 밴드 밖으로 나가면 이상신호","밴드 폭 좁아짐 = 변동성 수축 큰 움직임 예고 / 상단 밴드 터치 = 과매수 경보","중간밴드 = SMA(20) / 상단 = SMA(20)+2σ / 하단 = SMA(20)-2σ","볼린저 밴드 이탈 자체가 반전신호는 아님. 강한 추세에서는 밴드가 계속 확장됨",""
"스토캐스틱","Stochastic Oscillator","퀀트·금융","기술지표","최근 14일 최고-최저 범위에서 오늘 종가가 어디에 있는지. 0~100","%K = 80 = 최근 범위에서 상위 20% 위치 = 과매수 근처","%K = (오늘종가 - 14일최저) / (14일최고 - 14일최저) × 100 / %D = %K의 3일 평균","%K가 %D를 위로 교차하면 매수 아래로 교차하면 매도 신호","이 프로젝트 피처"
"ATR","Average True Range","퀀트·금융","기술지표","하루에 가격이 평균적으로 얼마나 크게 움직이는지. 변동성 측정 도구","ATR = 30포인트면 하루 평균 30포인트 움직임 → 스톱로스 설정에 활용","TR = max(고가-저가 |고가-전일종가| |저가-전일종가|) → 14일 평균","스톱로스를 ATR의 1.5~2배로 설정하는 것이 일반적인 리스크 관리 방법. 프로젝트 상관계수 1위","이 프로젝트 피처"
"OBV","On-Balance Volume","퀀트·금융","기술지표","거래량으로 매수세/매도세를 누적. 가격보다 거래량이 먼저 움직임을 활용","가격은 횡보인데 OBV가 상승 중 → 매수세 축적 곧 상승 가능성","가격상승일: OBV += 거래량 / 가격하락일: OBV -= 거래량","가격-OBV 다이버전스(엇갈림)가 추세 전환의 강한 신호",""
"VWAP","Volume Weighted Average Price","퀀트·금융","기술지표","거래량을 가중치로 준 평균 가격. 기관 투자자의 실제 평균 매수 가격","오전 거래 많고 가격 낮았다면 VWAP은 오후 평균보다 더 낮게 나옴","VWAP = Σ(가격×거래량) / Σ거래량","기관 트레이더들이 VWAP 기준으로 주문. 가격이 VWAP 위 = 매수세 우세",""
"모멘텀","Momentum","퀀트·금융","기술지표","가격이 오르는 힘 또는 내리는 힘. 최근 N일 전 가격 대비 현재 가격","20일 전 가격 100 오늘 가격 110 → 20일 모멘텀 = +10%","모멘텀 = 오늘 가격 / N일 전 가격 - 1","모멘텀 전략은 강한 것이 더 강해진다는 시장 현상을 활용","이 프로젝트 피처"
"ROC","Rate of Change","퀀트·금융","기술지표","N일 전 대비 현재 가격 변화율. 모멘텀의 백분율 표현","20일 전 100 오늘 115 → ROC = (115-100)/100×100 = +15%","ROC = (현재가격 - N일전가격) / N일전가격 × 100","모멘텀과 개념적으로 동일. 표현 방식만 다름",""
"CCI","Commodity Channel Index","퀀트·금융","기술지표","현재 가격이 통계적 평균에서 얼마나 벗어났는지 측정. ±100이 기준","+100 이상 = 과매수 구간 / -100 이하 = 과매도 구간","CCI = (Typical Price - SMA) / (0.015 × Mean Deviation)","상품 선물에서 출발했지만 주식·지수에도 널리 사용",""
"OHLCV","Open / High / Low / Close / Volume","퀀트·금융","가격·시장","하루 거래에서 시가·고가·저가·종가·거래량 5가지 원시 데이터","시가 100 고가 105 저가 97 종가 103 → 장중 8포인트 범위에서 움직이고 상승 마감","없음 (원시 데이터)","1983년 이전 S&P500 데이터에서 OHLC가 모두 동일한 이유: 그 시절엔 종가만 기록됨","이 프로젝트 데이터"
"호가","Bid / Ask","퀀트·금융","가격·시장","Bid = 살 때 부르는 가격 / Ask = 팔 때 부르는 가격. 항상 Ask > Bid","Bid 5000원 Ask 5010원 → 지금 당장 사면 5010원에 체결","없음","S&P500 지수 데이터에는 호가가 없음. 실제 종목 트레이딩에서 중요한 개념",""
"스프레드","Spread","퀀트·금융","가격·시장","Bid와 Ask의 차이. 거래 비용의 일부","Bid 5000원 Ask 5010원 → 스프레드 = 10원 = 시장 진입 즉시 10원 손실","스프레드 = Ask - Bid","유동성이 높은 주식·지수는 스프레드가 좁음. 소형주나 가상화폐는 넓어 거래비용이 큼",""
"슬리피지","Slippage","퀀트·금융","가격·시장","주문 넣을 때 예상한 가격과 실제로 체결된 가격의 차이","5000원에 사겠다고 주문 → 실제 5020원에 체결 → 슬리피지 = 20원","슬리피지 = 체결가격 - 주문가격","백테스트에서 슬리피지를 무시하면 실제 운용 시 성과가 크게 떨어질 수 있음. 반드시 반영",""
"캔들스틱","Candlestick","퀀트·금융","가격·시장","OHLC 4개 값을 하나의 초 모양 그림으로 표현. 금융 차트의 기본","초록(양봉) = 시가 < 종가(상승 마감) / 빨강(음봉) = 시가 > 종가(하락 마감)","몸통 = 시가~종가 / 꼬리 = 저가~고가","긴 아래꼬리 = 강한 매수세 / 긴 윗꼬리 = 강한 매도세 / 짧은 몸통 = 방향성 불확실","이 프로젝트 피처"
"틱 데이터","Tick Data","퀀트·금융","가격·시장","모든 체결 순간의 데이터. 1분봉보다 훨씬 세밀. 초당 수백 건","오전 9:00:00.123 → 5000원에 100주 체결 / 9:00:00.456 → 5001원에 50주 체결","없음 (원시 데이터)","HFT(초고빈도 거래)에서 사용. 일반 퀀트 전략에는 일/분봉 데이터로 충분한 경우 많음",""
"롱·숏","Long / Short","퀀트·금융","전략","롱 = 오를 것 같아서 삼. 숏 = 내릴 것 같아서 빌려서 팔고 나중에 싸게 사서 갚음","삼성 주가 오를 것 = 롱(매수) / 카카오 주가 내릴 것 = 숏(공매도)","없음","숏은 손실이 이론상 무한대. 주가는 최대 0이 되지만 위로는 끝이 없으니 롱보다 훨씬 위험",""
"레버리지","Leverage","퀀트·금융","전략","내 돈보다 더 많은 금액으로 투자. 수익도 배로 늘지만 손실도 배로 늘어남","100만원으로 3배 레버리지 = 300만원치 투자. 10% 상승 시 +30% 하락 시 -30%","실제수익률 = 자산수익률 × 레버리지 배수","레버리지는 양날의 검. 33% 하락 시 3배 레버리지는 원금 전액 손실",""
"포지션","Position","퀀트·금융","전략","현재 보유하고 있는 자산의 상태와 규모","삼성 주식 100주 보유 = 롱 포지션 / 아무것도 없음 = 포지션 없음(스퀘어)","없음","포지션 크기 = 리스크 관리의 핵심. 한 종목에 전체 자산 몰빵 = 극단적 포지션",""
"포트폴리오","Portfolio","퀀트·금융","전략","여러 자산을 모아놓은 집합. 분산투자로 리스크 줄이는 것이 목적","주식 60% + 채권 30% + 현금 10% = 포트폴리오","없음","달걀을 한 바구니에 담지 말라. 상관관계 낮은 자산끼리 묶을수록 분산 효과 큼",""
"리밸런싱","Rebalancing","퀀트·금융","전략","자산 비율이 목표에서 벗어나면 다시 맞추는 것","주식 60% 채권 40% 목표인데 주식이 올라 70%/30%가 되면 주식 10% 팔고 채권 삼","없음 (전략 개념)","월별 또는 분기별 리밸런싱이 일반적. 너무 잦으면 거래비용 증가",""
"헤징","Hedging","퀀트·금융","전략","한 쪽 포지션의 손실을 다른 포지션으로 상쇄하는 위험 관리","삼성 주식 보유(롱) + 삼성 풋옵션 매수 → 주가 하락 시 옵션으로 손실 상쇄","없음","완벽한 헤징 = 수익도 없고 손실도 없음. 실제로는 헤징 비용만큼만 위험을 줄임",""
"차익거래","Arbitrage","퀀트·금융","전략","같은 것이 서로 다른 시장에서 다른 가격에 팔릴 때 싸게 사서 비싸게 파는 것","비트코인 한국 거래소 5000만원 해외 4800만원 → 해외서 사서 한국에 팜 = 200만원 차익","없음","진짜 무위험 차익은 거의 존재하지 않음. 실행 속도와 거래비용이 수익을 잠식",""
"통계적 차익거래","Statistical Arbitrage","퀀트·금융","전략","역사적 통계 관계를 이용해 일시적으로 벌어진 가격 차이에서 수익을 노리는 전략","삼성전자와 SK하이닉스가 역사적으로 비슷하게 움직이다가 갑자기 차이 발생 → 수렴 기대","없음","완전한 무위험 차익이 아님. 통계적 관계가 무너지면 큰 손실 가능",""
"페어 트레이딩","Pair Trading","퀀트·금융","전략","비슷한 두 자산이 벌어지면 비싼 것 숏 싼 것 롱. 다시 수렴할 때 수익","삼성전자 vs SK하이닉스 갑자기 삼성이 10% 비싸지면 → 삼성 숏 + SK 롱","없음","시장 방향성과 무관한 시장중립 전략. 하지만 수렴 안 하고 벌어지면 큰 손실 가능",""
"모멘텀 전략","Momentum Strategy","퀀트·금융","전략","강한 것이 더 강해진다. 최근 많이 오른 자산이 계속 오를 것으로 가정하고 매수","최근 3개월 수익률 상위 20% 종목 매수 → 다음 달까지 보유 → 반복","매수신호: 현재 가격 > N일 전 가격","학술적으로 잘 검증된 팩터. 하지만 급반전 시 큰 손실 가능(모멘텀 크래시)",""
"평균회귀 전략","Mean Reversion","퀀트·금융","전략","너무 오른 것은 내려온다. 가격이 평균에서 벗어나면 다시 돌아올 것으로 가정","RSI 80 이상 = 과매수 = 숏 진입 / RSI 20 이하 = 과매도 = 롱 진입","매수신호: 가격 < 이동평균 - N×표준편차","모멘텀과 반대 개념. 시장 상황에 따라 어느 쪽이 우월한지 달라짐",""
